epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
520,6,0.01063025277107954,0.0199278574436903,0.05055534467101097,0.1278778314590454,0.1286046952009201,3.8557074069976807,3.87016224861145,29.880592346191406,60.966750621795654,381.375,0.00019189161,0.011883474,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
530,6,0.010449985042214394,0.00919572077691555,0.02421392686665058,0.08631458133459091,0.08614342659711838,2.2557482719421387,2.225153684616089,10.055359840393066,62.21956777572632,400.4375,7.3612464e-05,0.011895532,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
540,6,0.010452247224748135,0.004564560484141111,0.01722540892660618,0.05633619427680969,0.05631057918071747,1.3344241380691528,1.3212757110595703,3.533228635787964,63.45520520210266,381.15625,5.8857e-05,0.011905843,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
550,6,0.010448682121932507,0.004242273047566414,0.010831650346517563,0.037000786513090134,0.03712071478366852,0.7933512330055237,0.7847287058830261,1.2481967210769653,64.61299252510071,379.75,4.096061e-05,0.011929623,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
560,6,0.010441785678267479,0.001711140968836844,0.006191879510879517,0.025676386430859566,0.026056822389364243,0.46940454840660095,0.46751412749290466,0.440398633480072,65.77239274978638,384.28125,1.5306532e-05,0.01195108,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
570,6,0.01044449582695961,0.001219439785927534,0.0034953777212649584,0.01937130279839039,0.01983902044594288,0.2787431478500366,0.27639955282211304,0.15498608350753784,66.93275141716003,385.09375,1.4044961e-05,0.011964474,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
580,6,0.010448114946484566,0.0008670261595398188,0.0018350763712078333,0.01594463922083378,0.01658599264919758,0.165340855717659,0.163846954703331,0.0548260323703289,68.09288096427917,384.296875,7.8109615e-06,0.011979667,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
590,6,0.010445999912917614,0.0003026362683158368,0.00135544512886554,0.01406990084797144,0.014825948514044285,0.09800881147384644,0.09711158275604248,0.01956520415842533,69.26081228256226,364.53125,2.6428456e-06,0.01199471,0.04400300547372484,11.884396496569384,18.24820312798625,0.0015636362429037977,6.701695512654488
600,6,0.010443245060741901,0.0002549441414885223,0.000816191197372973,0.01295045018196106,0.013790563680231571,0.05824004486203194,0.057642921805381775,0.007182295899838209,70.42399621009827,368.640625,3.089468e-06,0.012007182,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
610,7,0.007622715085744858,8.588554382324219,0.000722206721547991,0.00755841750651598,0.008031087927520275,0.03181178495287895,0.03135902062058449,73.76543426513672,71.55751991271973,468.375,0.019507822,0.012016601,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
620,7,0.0069350493140518665,3.923891544342041,0.0004829264944419265,0.007013801485300064,0.007537733297795057,0.015946540981531143,0.015988048166036606,15.397589683532715,72.72444295883179,481.421875,0.0121366335,0.012022869,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
630,7,0.0068570938892662525,2.7307965755462646,0.0002638331789057702,0.006827353499829769,0.007365183439105749,0.008233200758695602,0.008105240762233734,7.457531929016113,74.10907340049744,457.15625,0.006219491,0.012027742,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
640,7,0.00681187491863966,1.4819077253341675,0.00014861910312902182,0.006721704266965389,0.007270463276654482,0.005579511635005474,0.005510813090950251,2.1962568759918213,75.27571034431458,467.140625,0.0037685127,0.012031975,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
